Date,Close,High,Low,Open,Volume
2023-05-31,320.7994384765625,328.1749119576372,319.7639124360726,324.60928590262876,45950600
2023-06-01,324.8926086425781,325.82066191290807,317.2143019258067,318.3963251868189,26773900
2023-06-02,327.64739990234375,329.6988654721622,324.8632701870316,326.5239875083562,25873800
2023-06-05,328.1749572753906,330.734392827561,326.924544875392,327.47159843712996,21307100
2023-06-06,325.96722412109375,327.61816339427435,324.4921469370549,327.57907961755546,20396200
2023-06-07,315.9052429199219,326.7584266923508,315.04557889593144,323.9840754044963,40717100
2023-06-08,317.7417297363281,319.0898362521749,315.8758751917173,316.4522339548943,23277700
2023-06-09,319.2363586425781,322.36237374570976,316.91136683599365,317.4779471981537,22529000
2023-06-12,324.1794128417969,324.4236341819199,317.6440473951295,320.98497863319494,24260300
2023-06-13,326.56304931640625,329.19087359317086,322.75320197847674,326.7388815445772,22951300
2023-06-14,329.5426025390625,331.2033200737011,325.1173117243528,326.61194558065387,26003800
2023-06-15,340.05389404296875,341.7536655006573,329.40584662971514,329.679373413851,38899100
2023-06-16,334.417236328125,343.3459850753044,334.04604484014123,343.1994581968657,46552000
2023-06-20,330.2361755371094,334.1730234363889,328.0967936208768,331.4670609717045,26375400
2023-06-21,325.8499755859375,329.92360187076076,324.39442550484875,328.59502188215436,25117800
2023-06-22,331.8578186035156,332.2583453008443,325.63506173065974,326.39703135157714,23556800
2023-06-23,327.27618408203125,330.1482299651682,325.74249643584824,326.6314360457984,23146900
2023-06-26,321.0046691894531,328.3410610316965,320.8971962526816,326.0063195495162,21520600
2023-06-27,326.8365783691406,328.38004429209786,321.68837287006505,324.18919728458985,24354100
2023-06-28,328.0870056152344,330.1677765285819,326.0941508206252,326.924509469394,20259500
2023-06-29,327.30548095703125,328.3409772213773,324.93165630266327,326.97334345829574,16997000
2023-06-30,332.6686096191406,334.80799133337183,329.40581549810116,329.94309061938924,26832800
2023-07-03,330.1775207519531,333.02026113567905,328.79036003615676,331.34979527734635,12508700
2023-07-05,330.3338928222656,333.75299276532775,326.99296042986884,327.34462497130613,18172400
2023-07-06,333.3817138671875,335.0619581701481,327.7450950952517,329.5034771232006,28161200
2023-07-07,329.42535400390625,333.8897282258727,329.2104379854344,331.4768196689225,21214800
2023-07-10,324.15997314453125,327.48140841968,320.0179872598145,326.8659656503179,32791400
2023-07-11,324.7851257324219,325.1660955778508,319.44156081618985,323.40771358997307,26698200
2023-07-12,329.4058532714844,333.75297652887264,327.91121941871575,328.8197159187511,29995300
2023-07-13,334.73956298828125,335.7945861289157,331.18368573483207,331.71121221123786,20567200
2023-07-14,337.2599792480469,343.3069035731136,336.35148278353853,339.55566639937143,28352700
2023-07-17,337.73870849609375,338.9695642229461,334.29030311956524,337.689846323102,20363900
2023-07-18,351.1806335449219,358.30213870194854,334.260995743675,337.8363711993752,64738600
2023-07-19,346.8725891113281,354.08201092658555,344.293626158434,353.38843037126543,39732900
2023-07-20,338.8522644042969,349.6956992819866,337.3869361725058,345.3974090978353,33778400
2023-07-21,335.82391357421875,342.20297462021114,331.9749823654145,341.07956227112305,69405400
2023-07-24,337.1329345703125,338.9011247209187,334.3976671440658,337.85585009967554,26678100
2023-07-25,342.8673095703125,343.7562790203098,337.09391224924093,339.0867373558683,41637700
2023-07-26,329.9626159667969,336.70314999869004,325.41032580255074,333.5477989926325,58383700
2023-07-27,323.07562255859375,333.4403649695194,321.444210409782,332.61003601882766,39635300
2023-07-28,330.54876708984375,332.1508737419497,325.46897998950345,325.95742277677743,28484900
2023-07-31,328.1553955078125,329.89425053304086,325.6545411607463,329.13228102338303,25446000
2023-08-01,328.5656433105469,330.7148031903255,325.9866812669901,327.44223102382614,18311900
2023-08-02,319.9300537109375,325.9183675778276,318.81638974847687,325.9183675778276,27761300
2023-08-03,319.1094055175781,322.25497786737617,318.41582519365545,318.46465754141326,18253700
2023-08-04,320.20355224609375,327.393445572908,319.67602568873457,324.20878906184083,23741500
2023-08-07,322.47967529296875,323.45656084506595,319.94954529049863,320.77990397221754,17741500
2023-08-08,318.5135192871094,321.151122177393,315.5340303066097,319.4024887084689,22327600
2023-08-09,314.7818603515625,319.5490370786911,313.629112676302,318.92384579160165,22373300
2023-08-10,315.4656677246094,320.6724848006537,313.75611788086866,318.48424072838094,20113700
2023-08-11,313.5900573730469,314.9576912566164,311.8316453980151,312.8573931698293,24355500
2023-08-14,316.54998779296875,316.5695147707091,312.68149972344554,313.9612471638397,18836100
2023-08-15,314.42034912109375,317.5756999823602,313.48254739923874,315.53401288819225,16966300
2023-08-16,313.6568298339844,317.5922437105838,313.0694515072215,314.0484054267254,20698900
2023-08-17,310.2109069824219,315.09587723168505,309.5549947446499,313.7938817302348,21257200
2023-08-18,309.8193054199219,311.679311641093,304.9930405423695,307.8711670676138,24755000
2023-08-21,315.10565185546875,315.9769051965937,310.3675190796091,311.23877242073405,24040000
2023-08-22,315.6734313964844,319.21723934340076,314.6944776045053,318.6494592891844,16084600
2023-08-23,320.117919921875,322.2716304158125,316.65241480901244,317.00485374224843,21166400
2023-08-24,313.23583984375,325.97203798658785,313.2260407459276,325.84476921608996,23281400
2023-08-25,316.18255615234375,318.5124414479657,312.0905059538923,314.70432613416926,21684100
2023-08-28,316.8873291015625,319.2857477751521,314.94898999316615,318.8060700154935,14808500
2023-08-29,321.4981994628906,322.05621026150664,315.10563277299525,315.10563277299525,19284600
2023-08-30,321.8702392578125,322.86876141280084,319.57949087262745,321.75276957784916,15222100
2023-08-31,320.8619079589844,323.9456064626788,319.9025224771531,322.27160382501023,26411000
2023-09-01,321.7429504394531,325.00285335659055,319.9025125671937,324.33717196139406,14942000
2023-09-05,326.5300598144531,327.80271780347465,321.7429908017799,322.0758315411327,18553900
2023-09-06,325.8741760253906,327.4209100280818,323.23098856949474,326.3636529709045,17535800
2023-09-07,322.9666748046875,326.0699418421109,322.1051906191248,324.3176359252016,18381000
2023-09-08,327.2348937988281,329.0851309217736,322.5261281543159,323.14287386196446,19530100
2023-09-11,330.8276672363281,331.29757584054045,328.37048350695864,330.1423875895978,16583300
2023-09-12,324.7875061035156,329.7018735211136,324.50363099894156,328.75228709732,17565500
2023-09-13,328.9872131347656,329.76059500536803,324.2001445661415,324.3371825636095,16544400
2023-09-14,331.57171630859375,333.6862305598508,329.4865396056531,332.0122276628957,20267000
2023-09-15,323.2701416015625,330.29902307578516,322.71213073688756,329.829144347891,37679800
2023-09-18,322.1346130371094,323.4464078617011,319.4914251869891,320.90112139034574,16834200
2023-09-19,321.7331848144531,322.45763099664185,317.6803313099975,319.3053983263758,16505900
2023-09-20,314.0190124511719,322.65339248865484,313.76450476801705,322.5750893265996,21436500
2023-09-21,312.8051452636719,318.50266425545,308.3704851953978,312.540838460042,35560400
2023-09-22,310.33819580078125,314.6847536524901,309.4962798834054,314.5574848611761,21447900
2023-09-25,310.8570861816406,310.9843549917842,308.37053445932696,309.9270678577514,17836000
2023-09-26,305.5706481933594,309.2319257820145,303.49524107796117,308.4977104446982,26297600
2023-09-27,306.2070007324219,307.6852008158054,303.1722376476752,305.7272930031046,19410100
2023-09-28,307.0390625,308.8403337798226,302.93724397750015,304.4448112128742,19683600
2023-09-29,309.1047058105469,312.74641565358826,308.3509220336715,311.0626136858314,24147300
2023-10-02,315.0273742675781,315.11550641477425,308.5467037935523,309.6235591310726,20570000
2023-10-03,306.7944030761719,314.6260349402652,304.6602606879749,314.07779322449835,21033500
2023-10-04,312.2470703125,313.3043570607618,307.3914682241067,307.4208356407086,20720100
2023-10-05,312.6387023925781,313.2456789043345,308.2725763744339,312.3743955953389,16965600
2023-10-06,320.3724365234375,322.2618102249638,309.6430811517103,309.8878196065806,25673600
2023-10-09,322.8785095214844,323.3483881671333,316.3782427539174,317.91520719974994,19891200
2023-10-10,321.4786682128906,324.13162477364205,320.7738202479149,323.9945568948938,20557100
2023-10-11,325.4237976074219,325.81537310695785,322.2128307107535,324.23924213655874,20063200
2023-10-12,324.19036865234375,326.6083859172805,321.8017188086289,323.6127894514465,19313100
2023-10-13,320.8325500488281,326.8041445225291,319.49135820401887,325.3846793916084,21072400
2023-10-16,325.6391906738281,329.06552880865223,323.6421166530187,324.08262791660326,22158000
2023-10-17,325.0714416503906,326.4419711859503,320.51931182231954,322.6534242330698,18338500
2023-10-18,323.1624450683594,328.5271229876209,321.3905409680336,325.4923600401383,23153600
2023-10-19,324.3470153808594,329.7899967094516,323.9456406942705,325.15953397789394,25052100
2023-10-20,319.7947998046875,324.93430643205664,318.6004751648395,324.73850375327726,25027700
2023-10-23,322.3890380859375,325.7272737717355,317.5628035384839,318.620060384211,24374700
2023-10-24,323.5736083984375,324.8560355263617,320.70528084515973,324.3273920928105,31153600
2023-10-25,333.500244140625,338.91385810810175,330.5144167677778,337.7586697804962,55053800
2023-10-26,320.9892272949219,334.44004510375515,320.0592090856676,333.3729888756814,37828500
2023-10-27,322.8687744140625,329.63334926048014,321.4884458683103,323.4757210351802,29856500
2023-10-30,330.2109069824219,332.3058824741977,324.84622935304117,326.39299310170355,22828100
2023-10-31,330.9940490722656,331.8653322788638,327.64604386616816,331.7184951865434,20265300
2023-11-01,338.78656005859375,340.1081537078223,332.5016633074158,332.6387311841403,28158800
2023-11-02,340.9891662597656,341.4884123407966,337.51386263532146,339.9318795140481,24348100
2023-11-03,345.3748779296875,346.9314407134558,340.01999961550734,342.27161121053757,23637700
2023-11-06,349.0263977050781,350.01515060483416,345.9133317859224,346.0112331411466,23828300
2023-11-07,352.9422302246094,354.83160398439014,350.1032700356418,351.83600759444016,25833900
2023-11-08,355.5560607910156,356.2119431597548,352.9618091115113,354.0680317747925,26767800
2023-11-09,353.0988464355469,357.11256296700316,352.77577495327927,354.6749477041347,24847300
2023-11-10,361.889892578125,362.31083557483976,353.47088326732273,353.88202716517856,28042100
2023-11-13,358.9627990722656,360.71513487046275,358.1992162461448,360.4703964021509,19986500
2023-11-14,362.4772033691406,364.1218684157094,359.6186750774512,363.2016494775537,27683900
2023-11-15,362.6243591308594,366.0184055463694,360.11312341587404,364.203659277244,26860100
2023-11-16,369.0005187988281,369.17708096054344,363.1246629725075,363.88979560921166,27182300
2023-11-17,362.8009948730469,367.2348369276998,360.00530734381556,366.4893122703207,40157000
2023-11-20,370.2463073730469,371.64904556813445,363.9290460653395,364.1448542442713,52465100
2023-11-21,365.9595947265625,369.0495522871196,364.0467481750121,368.5100468166504,28423100
2023-11-22,370.6484375,372.55146479135436,367.8233235855797,370.79557261305655,23345300
2023-11-24,370.23651123046875,370.76622769070315,367.9901781565456,370.1384111547305,10176600
2023-11-27,371.3940124511719,373.38535117738047,369.0299712724483,369.5989038114079,22179200
2023-11-28,375.4060363769531,375.70030662709087,370.9525569972749,371.1389381343408,20453100
2023-11-29,371.62939453125,376.9755034472532,370.24626453575155,376.4458170169272,28963400
2023-11-30,371.6882629394531,372.8457658390955,368.313824366715,371.2762546529022,30554400
2023-12-01,367.37213134765625,370.95255911244834,364.23310896058763,369.57924804408185,33040500
2023-12-04,362.1044616699219,362.47719398696046,355.98337139108264,362.06521566015255,32063300
2023-12-05,365.4200134277344,365.96933781680315,358.6515286841893,359.4657262173714,23065000
2023-12-06,361.77093505859375,367.04840106048385,361.0156214613024,366.4206145498899,21182100
2023-12-07,363.8799743652344,364.3704447283438,359.3382140130918,361.21181439248187,23118900
2023-12-08,367.0975036621094,367.3231008977417,361.2118585847211,362.16337240300305,20154400
2023-12-11,364.2232971191406,364.51759731266617,359.12242306000167,361.4570668899954,27708800
2023-12-12,367.24462890625,367.28387492110465,363.3993277208236,363.78190900979564,24838300
2023-12-13,367.2347717285156,370.44246703468053,363.7033791572921,368.8533179256787,30955500
2023-12-14,358.95562744140625,366.63640997800485,357.1899461347514,366.19497468337374,43277500
2023-12-15,363.6641845703125,365.30233890168853,359.29898614385536,359.858129570657,78502300
2023-12-18,365.547607421875,365.89094271187565,361.6532709896756,362.408614614865,21802900
2023-12-19,366.14593505859375,366.14593505859375,362.7911046946417,364.4096508615579,20603700
2023-12-20,363.5563049316406,368.8631986960778,363.46802384456504,367.85283078495934,26316700
2023-12-21,366.4205627441406,367.27397628253584,362.9872706194223,365.45923017228415,17708000
2023-12-22,367.4407653808594,368.02933580590116,365.606411005962,366.55792471126443,17107500
2023-12-26,367.51922607421875,369.7557695499751,366.3813313323872,367.8527423015936,12673100
2023-12-27,366.94049072265625,367.9116124252774,365.7044958750045,366.56772847108294,14905400
2023-12-28,368.1274719238281,369.2849749136942,367.02882298863733,368.2157530058411,14327000
2023-12-29,368.8729553222656,369.9716041347207,366.3617494835299,368.83370931155366,18730800
